season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
11_12,22,127,0,bath,3,28,leicester,-1.047619048,7,9,14,-25,0,0
11_12,22,128,0,gloucester,18,52,irish,-0.80952381,-1.714285714,8,7,-34,0,0
11_12,22,129,0,worcester,14,42,northampton,-4.666666667,6.523809524,7,13,-28,0,0
11_12,22,130,0,harlequins,24,10,sale,5.857142857,-3.380952381,16,10,14,1,0
11_12,22,131,0,exeter,22,40,saracens,1.571428571,5.761904762,12,15,-18,0,0
11_12,22,132,0,newcastle,14,10,wasps,-8.666666667,-6.428571429,5,6,4,1,0
11_12,22,127,1,leicester,28,3,bath,7,-1.047619048,14,9,25,1,0
11_12,22,128,1,irish,52,18,gloucester,-1.714285714,-0.80952381,7,8,34,1,0
11_12,22,129,1,northampton,42,14,worcester,6.523809524,-4.666666667,13,7,28,1,0
11_12,22,130,1,sale,10,24,harlequins,-3.380952381,5.857142857,10,16,-14,0,0
11_12,22,131,1,saracens,40,22,exeter,5.761904762,1.571428571,15,12,18,1,0
11_12,22,132,1,wasps,10,14,newcastle,-6.428571429,-8.666666667,6,5,-4,0,0
12_13,1,,0,sale,6,43,exeter,0,0,0,0,-37,0,0
12_13,1,,0,northampton,24,19,gloucester,0,0,0,0,5,1,0
12_13,1,,0,irish,3,40,saracens,0,0,0,0,-37,0,0
12_13,1,,0,harlequins,42,40,wasps,0,0,0,0,2,1,0
12_13,1,,0,leicester,38,13,welsh,0,0,0,0,25,1,0
12_13,1,,0,bath,24,23,worcester,0,0,0,0,1,1,0
12_13,1,,1,worcester,23,24,bath,0,0,0,0,-1,0,0
12_13,1,,1,wasps,40,42,harlequins,0,0,0,0,-2,0,0
12_13,1,,1,saracens,40,3,irish,0,0,0,0,37,1,0
12_13,1,,1,welsh,13,38,leicester,0,0,0,0,-25,0,0
12_13,1,,1,gloucester,19,24,northampton,0,0,0,0,-5,0,0
12_13,1,,1,exeter,43,6,sale,0,0,0,0,37,1,0
12_13,2,,0,wasps,23,30,bath,-2,0.5,0,1,-7,0,0
12_13,2,,0,welsh,3,40,harlequins,-25,2,0,1,-37,0,0
12_13,2,,0,gloucester,40,31,irish,-5,-37,0,0,9,1,0
12_13,2,,0,worcester,26,34,leicester,-1,25,0,1,-8,0,0
12_13,2,,0,exeter,21,24,northampton,37,5,1,1,-3,0,0
12_13,2,,0,saracens,23,16,sale,37,-37,1,0,7,1,0
12_13,2,,1,northampton,24,21,exeter,5,37,1,1,3,1,0
12_13,2,,1,irish,31,40,gloucester,-37,-5,0,0,-9,0,0
12_13,2,,1,sale,16,23,saracens,-37,37,0,1,-7,0,0
12_13,2,,1,bath,30,23,wasps,0.5,-2,1,0,7,1,0
12_13,2,,1,harlequins,40,3,welsh,2,-25,1,0,37,1,0
12_13,2,,1,leicester,34,26,worcester,25,-1,1,0,8,1,0
